aajmoen	henki | ajatus
svååredh	vastata
svæjmoedidh	pyörtyä
sygkeldidh	pyöräillä
sygkesidh	tulla vedetyksi
syhtjegh	Karlsvogna
syjjehtimmie	taivutus
såahpodh	vasikoida
såajoe	siipi
såakelgidh	piimittyä
såaltje	maine
såataskidh	hukkua jäihin
såekiegalte	koivuhalko
såeleme	sarven alku
såelie	oksa
såevlie	jääloska
sårkoe	suru
såvnjodh	ravistaa
såvrodh	hapantua
sååketje	siniyökönlehti
sååketjekraesie	siniyökönlehti
sælta	silli
sïejhme	tavallinen
sïerke	paju
söökesmielhkie	viili
söönedh	kiskoa suonia poron jalasta
taale	luku
tekste	teksti
telefovne	puhelin
telefovnenummere	puhelinnumero
tjaalaldahke	kirjoitus
tjaalaldihkie	kirjoitettu
tjaalege	kirjoitus
tjaaleldahke	kirjoitus
tjaaleldhgïele	kirjakieli
tjaalesthtjomhpe	tavu
tjaalestidh	viiltää nahka nylkemisen aikana
tjaavtese	nousu
tjaelije	kirjailija
tjaevtedh	kiivetä
tjahtedh	ponnistaa
tjaktje doekoe	syksymmälle
tjaktjege	syksyllä
tjaktjelaante	syysmaa
tjalmese	verkkomaha
tjarme	nyrkki
tjeakoes	salainen
tjeapetji	varovasti
tjeavra	saukko
tjerkie	 iho, joka on poron sorkan puoliskojen välissä
tjiehpies	kätevä
tjiehpieslaakan	huolellisesti | varovasti | kunnolla
tjihtese	runo
tjillege	kili | vohla
tjimkedh	kuormata
tjimkeslaakan	kovasti | kaikin voimin
tjoejkedidh	hiihdellä
tjoere	kärpänen
tjoevke	valo
tjoevkedh	loistaa
tjoevtje	siika
tjohtjedh	himota | pyrkiä
tjomhpe	nippu
tjomhpetje	pieni nippu
tjonkedh	purkata | siivota
tjovle	leninki | hame
tjuatsajidh	alkaa sataa lunta
tjuekie	(pään, ihon, rungon, metsän) paljas kohta
tjuetsedh	sataa lunta
tjulhte	seula
tjulhtedh	seulota
tjurrie	harjunselkä
tjåagka	haarukka
tjåagkodh	 leikata, kaapia tai hakata puukon terällä | kaapia (puusta kuorta) veitsellä
tjåalhte	kukkula
tjåalhtetje	pieni kukkula | kukkula
tjåanghkenidh	kokoontua
tjåanghkoetjïehtjele	kokoushuone
tjåetskemes	kylmä
tjåhkome	kampa, jolla kammataan kenkäheinää
tjåånehtahke	jarruporo
tjååtsele	sorsa
tjæjnodh	saada ummetus
tjïelhke	kelkka
tjïelkestidh	selittää
tjïerte	ryhmä
tjïevhtje	meriharakka
tjïrredh	nokia
tjöölle	vaaleansininen
toelhke	tulkki
tovme	tyhjä
traste	rastas
trimhkestidh	räpäyttää
tryöjjadidh	viihtyä
tråahpe	raput | portaat
trïengkestidh	olla renkinä
tsaepmedh	lyödä
tsagkeldhdueljie	puukapulalla kireäksi pingotettu nahka
tsagkeme	kimpsut ja kampsut
tsegkiedeakehke	haarapuu kodassa
tsiehkie	tilanne
tsietsedh	maistua kitkerästi
tsietsehthmuerjie	vadelma | vattu
tsiptsedh	purista
tsoepkenidh	katketa
tsuvvedh	ravata
tsyögkesidh	 nousta pystyyn (karvat, kun koira hermostuu)
tsåaka	matalikko
tsåakodh	putoa
tsåalhkodh	nokkia
tsåapkodh	katkoa
tsåelhkielaejpie	linnunruoka
tsåeptseles	paikallaan pysyvä, rauhallinen, koossa oleva (poroelosta)
tsïengele	tammikuu
tv-spïele	tv-peli
tåårske	turska
tæhtjoe	katto
tæjmosne båatam	tulen tunnin kuluttua
töölledh	kestää
ujkierdidh	ulvoa
ulmie	tavoite
unnebelåhkoegïele	vähemmistökieli
ussjedimmie	ajatus
vaajese	tarina
vaanghka	poron takajalan liha
vaanghkaklivvie	polvitaipeen nivel
vaanghkamåara	poron polvitaipeen iso luu
vaarese	sarka
vaarhkedh	särkiä
vaarjelidh	säilyttää
vaeriej dubpelen	vuoren takana
vaerieståapoe	erätupa
vaestiedasse	vastaus
valkedh	lähteä
valkedhokse	suuri aukko poroaidassa
varkedh	piristyä
veajalidh	putoa
veajedh	luistaa
vealah	makaava
vealmetje	vuoma
veanasoene	takareisiluun jänne, jossa on luunappi
veartene	maailma
vedtiestidh	antaa
veele	vara
vervies	terve
vestieslaakan	rumasti | kamalasti
vetneme	majava
vierhkieskaavtege	työkalupakki
vierhtie	maksuväline
vierhtiedidh	arvioida
vierhtiedimmie	arviointi
vihtehks	viisas
vijrije	metsästäjä
vijsies	viisas
voehpe	appiukko
voehpealmetjh	appivanhemmat
voejedaellie	voirasia
voejedh	uida
voelege	olut
voelkehtidh	viedä mukanaan
voelpe	ystävä
voerhtje	varis
voerkedahke	sarvienlähtöaika
voestes gietjeste	alussa
voestesgïele	äidinkieli | ensimmäinen kieli
vokaale	vokaali
vuajnah tjaangh	tule sisään | tulkaa sisään
vuajnajidh	nähdä
vuaksa	härkä | sonni
vuanove	anoppi
vuarhkemesarva	sarvensa pudottanut hirvas
vuehtedh	jäljittää
vuejemelohkehtæjja	ajo-opettaja
vuekielïhtse	tavan adverbiaali
vuelie	joiku | melodia
vuelieraedtie	alareuna
vuelkeme	matka
vuerpie	arpa
vuertieh ånnetji	odota vähän
vuhtsedh	laukata
vyölkedidh	kalveta
våajodh	uppoa
våaroe	vuoro
våatjodh	(rasvasta) kohota pinnalle
våhkoesoejkesje	viikkosuunnitelma
væjkeleslaakan	taitavasti
vïehkesadtedh	auttaa toisiaan
vïekesjidh	punnita
vïelletjh	veljekset
vïenes	ystävällinen
vïjve	vävy
vïrre	veri
vïssjedh	viitsiä
vïssjeleslaakan	kärsivällisesti
vïtnedh	voittaa
vöönhtse	kana
vöörhkedh	piilota
åabpedh	pelastaa
åabpetjh	siskokset
åadtjijebearkoe	luuton liha
åahpanadtedh	tutustua
åarjelsaemiengïele	eteläsaamen kieli
åarjene	etelässä
åbrodh	sataa
åejjiemoere	etummainen kapuloista, joihin nahka pingotetaan
åejvieboelhke	pääosa
åejviegïele	pääkieli
åejvieulmie	päämäärä
åelkies bielie	oikea puoli
åemehke	vainaja
åemie	vainaja
åeniedidh	lyhentää
åeniedimmie	lyhenne
åeremesijjie	nukkumispaikka | asuinpaikka
åerpele	serkku
åeruve	orava
åesiestimmielæstoe	kauppalista
ålkode	ulkoapäin
ålkoelaante	ulkomaa
ålkoeokse	ulko-ovi
ångkene	lapsi
årromesijjie	asuinpaikka
åssjalommes	ajatus
åvtebielie	etusivu
åvtese	eteenpäin
åvtesne	ennen vanhaa
åvtesnuelie	poron etujalassa oleva liha
åågkesjidh	haista | tuoksua
ååjmedidh	pystyä | osata
ååjretje	pieni airo
ååjsehtalledh	luovuttaa, joutua luovuttamaan väsyttyään
åårke	harju
ööhpehtimmiedirektoraate	koulutusvirasto
öörnege	järjestys
